id1	id2	compared_sites	mismatches	distance
CserDQD/SDH1.1	CserDQD/SDH1.2	1885	177	0.093899
CserDQD/SDH1.1	CserDQD/SDH2	1865	881	0.472386
CserDQD/SDH1.1	CserDQD/SDH3	1821	888	0.487644
CserDQD/SDH1.1	CserDQD/SDH4	1820	895	0.491758
CserDQD/SDH1.1	CserDQD/SDH5	1716	625	0.364219
CserDQD/SDH1.2	CserDQD/SDH2	2034	972	0.477876
CserDQD/SDH1.2	CserDQD/SDH3	1899	939	0.494471
CserDQD/SDH1.2	CserDQD/SDH4	1948	944	0.484600
CserDQD/SDH1.2	CserDQD/SDH5	1719	617	0.358930
CserDQD/SDH2	CserDQD/SDH3	2069	712	0.344128
CserDQD/SDH2	CserDQD/SDH4	2076	706	0.340077
CserDQD/SDH2	CserDQD/SDH5	1753	750	0.427838
CserDQD/SDH3	CserDQD/SDH4	1993	619	0.310587
CserDQD/SDH3	CserDQD/SDH5	1722	754	0.437863
CserDQD/SDH4	CserDQD/SDH5	1728	774	0.447917
