Transcript_ID,KO_IDs,Pathway_IDs,Reaction_IDs,Module_Descriptions,Module_Groups,Module_Prefixes
NODE_100027_length_329_cov_2.039286_g67646_i0,E3.2.1.14; chitinase [EC:3.2.1.14],Amino sugar and nucleotide sugar metabolism;Metabolic pathways,"[1,4-(N-acetyl-beta-D-glucosaminyl)]n glycanohydrolase; Chitin + H2O <=> N-Acetyl-D-glucosamine + Chitin;[1,4-(N-acetyl-beta-D-glucosaminyl)]n glycanohydrolase; Chitin + H2O <=> Chitobiose + Chitin",,,
NODE_100054_length_329_cov_1.746429_g67673_i0,E2.4.1.218; hydroquinone glucosyltransferase [EC:2.4.1.218];UGT72E; coniferyl-alcohol glucosyltransferase [EC:2.4.1.111],Phenylpropanoid biosynthesis,UDPglucose:coniferyl-alcohol 4'-beta-D-glucosyltransferase; UDP-glucose + Coniferyl alcohol <=> UDP + Coniferin;UDPglucose:coniferyl-alcohol 4'-beta-D-glucosyltransferase; UDP-glucose + Sinapyl alcohol <=> UDP + Syringin;UDPglucose:coniferyl-alcohol 4'-beta-D-glucosyltransferase; UDP-glucose + 4-Coumaryl alcohol <=> UDP + 4-Hydroxycinnamyl alcohol 4-D-glucoside,,,
NODE_100092_length_329_cov_1.482143_g67711_i0,"HSFF; heat shock transcription factor, other eukaryote",,,,,
NODE_10009_length_2872_cov_377.414807_g4885_i0,"ACSL, fadD; long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]",Fatty acid biosynthesis;Fatty acid degradation;Metabolic pathways;Fatty acid metabolism;Quorum sensing;PPAR signaling pathway;Peroxisome;Ferroptosis;Thermogenesis;Adipocytokine signaling pathway,palmitate:CoA ligase (AMP-forming); ATP + Hexadecanoic acid + CoA <=> AMP + Palmitoyl-CoA + Diphosphate,"beta-Oxidation, acyl-CoA synthesis",Fatty acid metabolism,Carbohydrate and lipid metabolism
NODE_100126_length_329_cov_1.250000_g67745_i0,"MTR4, SKIV2L2; ATP-dependent RNA helicase DOB1 [EC:5.6.2.6]",RNA degradation,,TRAMP complex,RNA processing,Genetic information processing
NODE_10013_length_2872_cov_137.090684_g1137_i2,STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1],,,,,
NODE_10014_length_2872_cov_132.062345_g4759_i1,"WNK, PRKWNK; WNK lysine deficient protein kinase [EC:2.7.11.1]",,,,,
NODE_100154_length_328_cov_41.017921_g67773_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_100170_length_328_cov_3.964158_g67789_i0,CYP707A; (+)-abscisic acid 8'-hydroxylase [EC:1.14.14.137],Carotenoid biosynthesis,"abscisate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8'-hydroxylating); Abscisate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 8'-Hydroxyabscisate + [Oxidized NADPH---hemoprotein reductase] + H2O",,,
NODE_10018_length_2872_cov_25.346440_g4888_i0,TDP1; tyrosyl-DNA phosphodiesterase 1 [EC:3.1.4.-],,,,,
NODE_10020_length_2871_cov_138.298370_g4889_i0,CSNK2B; casein kinase II subunit beta,Ribosome biogenesis in eukaryotes;NF-kappa B signaling pathway;Mitophagy - animal;Mitophagy - yeast;Wnt signaling pathway;Adherens junction;Circadian rhythm - plant;Measles;Herpes simplex virus 1 infection;Epstein-Barr virus infection,,,,
NODE_100246_length_328_cov_2.010753_g67865_i0,CYP710A; sterol 22-desaturase [EC:1.14.19.41],Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,"beta-sitosterol,NADPH:oxygen oxidoreductase (22,23-dehydrogenating); beta-Sitosterol + NADPH + H+ + Oxygen <=> Stigmasterol + NADP+ + 2 H2O;24-epi-campesterol,NADPH:oxygen oxidoreductase (22,23-dehydrogenating); 24-epi-Campesterol + NADPH + H+ + Oxygen <=> Brassicasterol + NADP+ + 2 H2O",,,
NODE_100249_length_328_cov_1.978495_g67868_i0,THOC2; THO complex subunit 2,Nucleocytoplasmic transport;Spliceosome,,THC complex;TREX complex,RNA processing;RNA processing,Genetic information processing;Genetic information processing
NODE_10025_length_2871_cov_66.920624_g3463_i1,TBC1D15; TBC1 domain family member 15,Mitophagy - animal,,,,
NODE_100299_length_328_cov_1.491039_g67918_i0,BET1; blocked early in transport 1,SNARE interactions in vesicular transport,,,,
NODE_1002_length_5384_cov_77.713964_g493_i0,NTO1; NuA3 HAT complex component NTO1,,,,,
NODE_10030_length_2870_cov_14.233251_g4627_i2,"CNGC; cyclic nucleotide gated channel, plant",Plant-pathogen interaction,,,,
NODE_10031_length_2870_cov_7.124778_g4896_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
