id	CserDQD/SDH1.1	CserDQD/SDH1.2	CserDQD/SDH2	CserDQD/SDH3	CserDQD/SDH4	CserDQD/SDH5
CserDQD/SDH1.1	0.000000	0.093899	0.472386	0.487644	0.491758	0.364219
CserDQD/SDH1.2	0.093899	0.000000	0.477876	0.494471	0.484600	0.358930
CserDQD/SDH2	0.472386	0.477876	0.000000	0.344128	0.340077	0.427838
CserDQD/SDH3	0.487644	0.494471	0.344128	0.000000	0.310587	0.437863
CserDQD/SDH4	0.491758	0.484600	0.340077	0.310587	0.000000	0.447917
CserDQD/SDH5	0.364219	0.358930	0.427838	0.437863	0.447917	0.000000
