Transcript_ID,KO_IDs,Pathway_IDs,Module_IDs,Reaction_IDs
NODE_100027_length_329_cov_2.039286_g67646_i0,ko:K01183,"ko00520,ko01100,map00520,map01100",,"R01206,R02334"
NODE_100054_length_329_cov_1.746429_g67673_i0,"ko:K08237,ko:K12356","ko00940,map00940",,"R02594,R03605,R04005"
NODE_100092_length_329_cov_1.482143_g67711_i0,ko:K09419,,,
NODE_10009_length_2872_cov_377.414807_g4885_i0,ko:K01897,"ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920",M00086,R01280
NODE_100126_length_329_cov_1.250000_g67745_i0,ko:K12598,"ko03018,map03018",M00393,
NODE_10013_length_2872_cov_137.090684_g1137_i2,ko:K08838,,,
NODE_10014_length_2872_cov_132.062345_g4759_i1,ko:K08867,,,
NODE_100154_length_328_cov_41.017921_g67773_i0,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_100170_length_328_cov_3.964158_g67789_i0,ko:K09843,"ko00906,map00906",,R07202
NODE_10018_length_2872_cov_25.346440_g4888_i0,ko:K10862,,,
NODE_10020_length_2871_cov_138.298370_g4889_i0,ko:K03115,"ko03008,ko04064,ko04137,ko04139,ko04310,ko04520,ko04712,ko05162,ko05168,ko05169,map03008,map04064,map04137,map04139,map04310,map04520,map04712,map05162,map05168,map05169",,
NODE_100246_length_328_cov_2.010753_g67865_i0,ko:K09832,"ko00100,ko01100,ko01110,map00100,map01100,map01110",,"R07489,R11097"
NODE_100249_length_328_cov_1.978495_g67868_i0,ko:K12879,"ko03013,ko03040,map03013,map03040","M00405,M00406",
NODE_10025_length_2871_cov_66.920624_g3463_i1,ko:K20168,"ko04137,map04137",,
NODE_100299_length_328_cov_1.491039_g67918_i0,ko:K08504,"ko04130,map04130",,
NODE_1002_length_5384_cov_77.713964_g493_i0,ko:K11380,,,
NODE_10030_length_2870_cov_14.233251_g4627_i2,ko:K05391,"ko04626,map04626",,
NODE_10031_length_2870_cov_7.124778_g4896_i0,ko:K13459,"ko04626,map04626",,
NODE_10032_length_2869_cov_1845.702128_g3958_i3,ko:K00549,"ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230",M00017,"R04405,R09365"
NODE_10034_length_2869_cov_260.771631_g2645_i2,ko:K13947,,,
NODE_10037_length_2869_cov_74.057447_g4899_i0,ko:K14774,,,
NODE_10038_length_2869_cov_68.669504_g2842_i1,ko:K17492,,,
NODE_10039_length_2869_cov_60.840426_g4900_i0,ko:K21752,,,
NODE_100421_length_327_cov_2.262590_g68040_i0,"ko:K15078,ko:K19613","ko03460,ko04014,map03460,map04014",,
NODE_100429_length_327_cov_2.057554_g68048_i0,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_10043_length_2869_cov_8.933333_g4901_i0,"ko:K10405,ko:K10406",,,
