id1	id2	compared_sites	mismatches	distance
CserDQD/SDH1.1	CserDQD/SDH1.2	498	11	0.022088
CserDQD/SDH1.1	CserDQD/SDH2	439	215	0.489749
CserDQD/SDH1.1	CserDQD/SDH3	493	254	0.515213
CserDQD/SDH1.1	CserDQD/SDH4	430	224	0.520930
CserDQD/SDH1.1	CserDQD/SDH5	496	203	0.409274
CserDQD/SDH1.2	CserDQD/SDH2	439	215	0.489749
CserDQD/SDH1.2	CserDQD/SDH3	494	256	0.518219
CserDQD/SDH1.2	CserDQD/SDH4	430	224	0.520930
CserDQD/SDH1.2	CserDQD/SDH5	497	204	0.410463
CserDQD/SDH2	CserDQD/SDH3	462	148	0.320346
CserDQD/SDH2	CserDQD/SDH4	452	134	0.296460
CserDQD/SDH2	CserDQD/SDH5	461	225	0.488069
CserDQD/SDH3	CserDQD/SDH4	466	138	0.296137
CserDQD/SDH3	CserDQD/SDH5	516	270	0.523256
CserDQD/SDH4	CserDQD/SDH5	451	227	0.503326
